Customer_ID,Age,Education,Years_Experience,Annual_Income_k$,Device_Type,Is_Premium,Avg_Session_Min,Total_Spend_USD,Satisfied
CUST_1000,39,Bachelor,16.7,75.99,Mobile,1,13.1,746.52,1
CUST_1001,33,Bachelor,11.3,81.13,Mobile,1,18.4,847.59,1
CUST_1002,41,Bachelor,21.4,91.01,Desktop,1,23.2,1060.41,1
CUST_1003,50,PhD,26.4,125.16,Tablet,1,14.6,1214.18,0
CUST_1004,32,Bachelor,10.7,72.84,Desktop,1,24.1,921.91,1
CUST_1005,32,High School,14.8,55.97,Mobile,0,16.2,680.39,1
CUST_1006,50,High School,33.8,102.22,Mobile,1,16.5,1124.62,1
CUST_1007,42,High School,25.1,80.14,Tablet,1,20.3,996.88,1
CUST_1008,30,High School,13.5,55.44,Mobile,0,17.9,280.24,0
CUST_1009,40,High School,20.9,73.2,Mobile,0,6.1,238.96,1
CUST_1010,30,High School,9.9,37.25,Desktop,0,36.3,683.46,0
CUST_1011,30,Bachelor,9.5,56.09,Desktop,0,35.6,391.0,0
CUST_1012,37,High School,18.5,55.75,Desktop,0,31.7,814.48,0
CUST_1013,18,Master,0.3,63.68,Mobile,1,20.9,895.1,1
CUST_1014,18,High School,2.0,49.46,Mobile,0,3.7,785.86,1
CUST_1015,29,Bachelor,7.4,79.17,Tablet,1,15.4,8950.0,0
CUST_1016,24,Bachelor,2.5,57.6,Mobile,1,8.3,712.78,1
CUST_1017,38,PhD,19.2,118.57,Desktop,1,31.6,1317.86,1
CUST_1018,25,High School,6.0,28.39,Desktop,0,22.7,595.0,1
CUST_1019,20,Bachelor,0.0,43.66,Desktop,0,31.8,868.06,0
CUST_1020,49,PhD,28.2,124.46,Mobile,1,18.9,969.84,0
CUST_1021,32,Master,10.4,75.75,Mobile,0,15.5,293.63,1
CUST_1022,35,Master,12.1,82.43,Desktop,0,29.4,668.39,0
CUST_1023,20,Bachelor,0.0,,Desktop,0,23.1,597.86,0
CUST_1024,29,High School,11.8,37.41,Tablet,0,13.8,446.45,0
CUST_1025,36,Bachelor,11.9,75.4,Mobile,1,18.2,1102.73,1
CUST_1026,23,PhD,1.3,73.76,Mobile,0,15.9,376.7,0
CUST_1027,38,Bachelor,14.6,76.19,Tablet,1,17.8,593.93,1
CUST_1028,28,Bachelor,8.4,79.71,Desktop,1,25.9,1184.71,1
CUST_1029,32,Bachelor,7.0,53.24,Desktop,1,17.9,711.77,0
CUST_1030,28,Master,4.9,50.58,Mobile,0,,50.0,0
CUST_1031,53,High School,33.3,89.65,Desktop,0,37.6,918.93,1
CUST_1032,34,Bachelor,15.1,83.99,Desktop,1,21.6,1144.99,1
CUST_1033,24,Bachelor,1.9,67.09,Desktop,1,28.9,1012.42,1
CUST_1034,43,Bachelor,19.9,73.98,Mobile,1,17.0,852.25,1
CUST_1035,22,High School,5.2,45.33,Mobile,0,5.7,282.28,1
CUST_1036,37,High School,20.3,64.82,Desktop,0,28.9,614.52,0
CUST_1037,18,Bachelor,0.0,,Mobile,0,16.7,243.5,1
CUST_1038,21,Bachelor,0.0,,Mobile,0,12.1,381.67,0
CUST_1039,36,Bachelor,13.0,59.38,Tablet,0,32.3,764.17,0
CUST_1040,42,High School,23.6,76.51,Mobile,1,3.7,821.98,1
CUST_1041,36,Bachelor,15.4,79.46,Desktop,1,33.3,1168.77,1
CUST_1042,33,Bachelor,11.5,,Mobile,1,11.1,717.6,1
CUST_1043,31,High School,14.1,58.16,Desktop,1,31.9,998.47,0
CUST_1044,20,Bachelor,0.0,50.46,Tablet,0,20.2,175.09,0
CUST_1045,27,High School,10.8,48.31,Mobile,0,8.3,376.53,0
CUST_1046,30,High School,12.3,56.29,Mobile,0,13.1,656.1,1
CUST_1047,45,PhD,22.8,118.29,Mobile,1,2.7,764.28,1
CUST_1048,38,Bachelor,19.7,88.43,Mobile,1,15.0,881.74,1
CUST_1049,18,Master,0.0,59.04,Desktop,0,29.5,700.22,0
CUST_1050,38,Bachelor,12.9,74.24,Tablet,1,21.2,1160.52,1
CUST_1051,31,Bachelor,7.6,61.45,Mobile,0,17.3,448.14,0
CUST_1052,28,Master,5.9,81.63,Mobile,1,13.8,816.61,1
CUST_1053,41,Bachelor,19.5,82.69,Mobile,1,12.7,617.27,0
CUST_1054,45,Bachelor,22.5,74.32,Desktop,0,23.6,667.3,0
CUST_1055,44,Bachelor,22.7,98.96,Mobile,1,8.4,1252.44,1
CUST_1056,26,Bachelor,1.5,43.45,Desktop,1,33.9,1028.53,0
CUST_1057,31,PhD,11.9,96.19,Desktop,0,35.2,899.52,0
CUST_1058,38,Master,15.8,85.67,Desktop,1,26.8,1145.31,0
CUST_1059,44,PhD,24.2,134.56,Mobile,1,12.2,1193.32,1
CUST_1060,30,High School,13.1,38.49,Desktop,0,23.5,370.53,0
CUST_1061,33,Master,11.9,108.52,Mobile,1,17.9,1236.03,1
CUST_1062,23,PhD,2.1,92.23,Mobile,1,,1026.94,1
CUST_1063,23,High School,6.0,44.59,Desktop,0,37.7,689.8,0
CUST_1064,43,High School,24.8,76.2,Desktop,1,23.6,864.69,0
CUST_1065,48,Master,28.7,115.94,Mobile,1,10.1,1256.29,1
CUST_1066,34,Bachelor,12.4,74.49,Mobile,0,13.2,627.52,1
CUST_1067,45,Master,24.4,111.08,Mobile,1,15.2,1011.52,0
CUST_1068,38,High School,19.1,70.82,Mobile,0,10.9,632.73,1
CUST_1069,28,Master,8.9,78.74,Mobile,1,7.6,756.94,1
CUST_1070,38,High School,22.5,70.92,Mobile,1,16.4,781.63,1
CUST_1071,50,High School,32.6,89.47,Mobile,0,15.6,518.27,0
CUST_1072,34,High School,14.2,56.0,Desktop,0,23.4,298.43,1
CUST_1073,50,Master,25.1,116.25,Desktop,1,34.8,1429.66,1
CUST_1074,18,Bachelor,0.0,52.75,Desktop,0,33.9,401.21,1
CUST_1075,43,Bachelor,19.6,59.76,Mobile,1,12.7,618.23,1
CUST_1076,35,Bachelor,14.7,79.71,Tablet,0,18.4,304.67,0
CUST_1077,32,Master,8.7,79.22,Desktop,1,30.8,1099.45,1
CUST_1078,35,Bachelor,12.1,69.63,Desktop,0,23.7,607.81,0
CUST_1079,18,Master,0.0,58.89,Desktop,0,28.2,585.57,1
CUST_1080,32,Bachelor,9.1,73.37,Tablet,1,7.2,643.97,1
CUST_1081,38,Bachelor,11.2,75.74,Mobile,1,16.4,746.5,0
CUST_1082,49,Bachelor,23.8,84.66,Mobile,1,4.2,890.28,1
CUST_1083,29,Bachelor,8.5,66.56,Desktop,1,35.5,1024.85,0
CUST_1084,26,Master,5.6,64.31,Desktop,1,26.3,1033.99,1
CUST_1085,29,Bachelor,7.9,51.18,Desktop,0,26.9,452.33,1
CUST_1086,44,High School,28.6,78.47,Mobile,1,8.9,872.99,1
CUST_1087,38,Master,15.9,97.52,Mobile,1,10.6,1160.28,1
CUST_1088,29,Bachelor,7.0,68.23,Mobile,1,19.1,1006.43,1
CUST_1089,40,Bachelor,15.7,80.36,Tablet,0,5.6,403.8,1
CUST_1090,35,PhD,16.0,114.6,Desktop,1,34.4,1383.32,0
CUST_1091,44,Bachelor,23.8,94.97,Mobile,1,13.7,952.27,1
CUST_1092,27,High School,6.7,38.93,Mobile,0,6.0,285.38,0
CUST_1093,31,PhD,9.1,99.84,Mobile,1,6.6,880.44,1
CUST_1094,31,Bachelor,9.4,71.32,Desktop,1,36.4,1116.2,1
CUST_1095,20,Bachelor,0.0,54.03,Desktop,0,23.3,586.06,0
CUST_1096,37,High School,18.2,74.27,Desktop,1,22.2,835.74,1
CUST_1097,37,Master,13.6,92.15,Mobile,0,17.7,519.07,0
CUST_1098,35,Bachelor,11.0,70.61,Desktop,0,29.7,498.76,0
CUST_1099,32,Bachelor,9.4,73.48,Mobile,1,7.3,562.05,1
CUST_1100,20,Master,1.6,64.67,Desktop,1,29.1,839.21,0
CUST_1101,30,Master,9.3,71.69,Mobile,1,6.9,812.55,1
CUST_1102,31,High School,14.5,56.8,Mobile,0,17.5,362.92,1
CUST_1103,26,Bachelor,5.1,51.22,Desktop,0,33.3,739.13,0
CUST_1104,33,High School,16.2,55.76,Tablet,0,20.7,535.84,0
CUST_1105,39,Master,18.8,94.68,Mobile,1,13.8,692.75,1
CUST_1106,53,High School,33.8,86.5,Desktop,1,36.8,1319.5,0
CUST_1107,36,Bachelor,12.7,68.4,Mobile,0,12.0,605.73,1
CUST_1108,37,Master,16.4,76.37,Mobile,1,6.1,652.76,1
CUST_1109,34,Master,12.8,86.75,Mobile,1,14.2,1014.37,1
CUST_1110,18,Bachelor,0.0,48.01,Mobile,0,22.4,389.22,0
CUST_1111,34,Master,13.3,79.4,Mobile,1,6.9,841.11,1
CUST_1112,35,High School,17.1,68.05,Mobile,0,10.2,271.18,1
CUST_1113,59,Master,35.9,134.12,Mobile,1,14.1,946.18,1
CUST_1114,33,High School,13.3,43.08,Tablet,1,17.7,733.61,1
CUST_1115,38,Bachelor,16.4,71.42,Mobile,1,7.1,771.18,1
CUST_1116,34,Master,16.2,85.01,Desktop,1,33.6,1115.56,1
CUST_1117,23,High School,2.2,28.44,Mobile,0,23.6,279.03,1
CUST_1118,46,High School,27.9,88.86,Desktop,1,29.0,1079.87,1
CUST_1119,42,Master,20.4,97.17,Mobile,1,7.5,966.1,1
CUST_1120,42,Master,18.7,93.54,Mobile,1,4.3,861.25,1
CUST_1121,25,Bachelor,2.0,35.57,Mobile,0,,386.3,0
CUST_1122,49,Bachelor,26.4,,Mobile,1,17.5,963.68,1
CUST_1123,20,Bachelor,0.0,38.09,Mobile,0,14.4,557.5,0
CUST_1124,40,Bachelor,19.0,82.68,Desktop,1,28.0,919.73,1
CUST_1125,56,Bachelor,32.9,109.44,Desktop,1,25.1,1277.21,1
CUST_1126,25,High School,6.7,54.95,Desktop,1,22.5,1075.95,1
CUST_1127,29,PhD,11.3,,Desktop,1,32.2,1255.65,0
CUST_1128,35,Bachelor,16.5,53.54,Mobile,1,16.6,791.33,1
CUST_1129,29,Bachelor,7.9,63.69,Mobile,0,4.3,290.42,1
CUST_1130,19,Bachelor,0.0,62.4,Mobile,1,19.9,1056.34,1
CUST_1131,35,PhD,13.2,113.67,Mobile,1,14.9,892.02,1
CUST_1132,24,High School,5.3,43.22,Mobile,0,19.0,311.68,0
CUST_1133,39,Bachelor,15.0,71.07,Mobile,1,5.3,706.82,1
CUST_1134,25,Bachelor,2.5,58.96,Mobile,1,5.2,894.54,1
CUST_1135,50,Bachelor,24.7,84.67,Mobile,1,11.3,962.84,1
CUST_1136,27,High School,9.5,52.91,Desktop,0,30.5,490.57,0
CUST_1137,31,Master,10.3,84.58,Desktop,1,37.0,1167.27,1
CUST_1138,43,PhD,20.0,124.48,Mobile,1,15.5,1082.71,0
CUST_1139,22,Bachelor,3.1,75.66,Tablet,1,16.8,820.28,0
CUST_1140,37,Bachelor,12.5,73.64,Tablet,0,12.9,666.91,0
CUST_1141,48,PhD,23.1,117.51,Mobile,1,18.2,961.17,1
CUST_1142,18,Master,0.0,61.8,Mobile,0,7.2,637.09,1
CUST_1143,36,High School,13.7,42.51,Mobile,0,20.1,591.78,0
CUST_1144,37,Bachelor,18.4,75.56,Tablet,0,16.6,737.48,1
CUST_1145,42,Bachelor,19.1,79.11,Desktop,1,36.0,1104.77,1
CUST_1146,22,Bachelor,2.2,47.77,Mobile,1,15.4,760.2,0
CUST_1147,21,Master,0.0,63.22,Mobile,0,11.3,236.52,1
CUST_1148,40,PhD,17.7,105.28,Desktop,1,25.4,1105.89,0
CUST_1149,37,PhD,16.8,119.21,Mobile,1,10.3,1155.94,1
CUST_1150,37,Bachelor,16.3,77.34,Mobile,1,14.1,1097.03,1
CUST_1151,38,High School,20.5,68.83,Desktop,0,28.4,516.88,0
CUST_1152,28,PhD,9.0,93.58,Desktop,0,25.0,711.77,0
CUST_1153,37,Master,17.8,95.28,Desktop,0,27.2,779.32,1
CUST_1154,37,High School,18.8,72.44,Desktop,0,28.4,490.89,0
CUST_1155,27,PhD,5.8,83.5,Desktop,1,17.4,1061.82,1
CUST_1156,53,Master,32.0,114.34,Mobile,1,14.3,993.46,1
CUST_1157,39,Bachelor,17.5,77.07,Desktop,0,23.1,629.98,1
CUST_1158,23,Bachelor,0.0,37.23,Mobile,0,6.2,212.24,0
CUST_1159,41,Bachelor,17.7,73.31,Desktop,0,19.6,480.47,0
CUST_1160,25,High School,8.4,43.31,Mobile,0,3.0,264.51,1
CUST_1161,42,Bachelor,22.3,,Desktop,1,21.2,1046.93,1
CUST_1162,46,Master,25.1,109.28,Mobile,0,8.5,598.2,1
CUST_1163,26,High School,7.6,47.23,Mobile,0,,397.97,1
CUST_1164,44,Bachelor,23.5,97.11,Mobile,1,9.4,996.12,1
CUST_1165,39,Bachelor,11.3,,Mobile,1,12.9,1087.47,0
CUST_1166,43,Bachelor,23.3,93.06,Desktop,1,30.0,1194.83,1
CUST_1167,53,PhD,27.5,128.67,Desktop,1,28.7,1507.31,1
CUST_1168,32,Bachelor,9.3,66.86,Mobile,1,11.6,613.51,1
CUST_1169,27,Bachelor,2.8,48.38,Mobile,1,6.0,696.11,1
CUST_1170,26,Master,1.4,,Mobile,1,19.3,653.47,1
CUST_1171,26,Bachelor,6.3,58.27,Mobile,0,21.0,323.85,1
CUST_1172,34,High School,13.7,68.04,Mobile,1,3.6,620.7,1
CUST_1173,38,Bachelor,16.7,85.47,Desktop,0,22.9,877.95,1
CUST_1174,37,High School,20.2,76.08,Mobile,1,10.6,996.91,1
CUST_1175,43,High School,23.1,83.47,Mobile,1,7.2,887.01,1
CUST_1176,35,Bachelor,13.2,72.47,Mobile,1,14.5,653.69,1
CUST_1177,49,Bachelor,24.4,93.5,Mobile,1,,887.53,1
CUST_1178,32,PhD,12.0,96.66,Mobile,1,22.8,1151.83,1
CUST_1179,62,Bachelor,39.0,115.67,Desktop,0,34.0,1022.35,0
CUST_1180,41,Bachelor,15.9,81.55,Mobile,1,13.1,635.08,1
CUST_1181,26,Bachelor,3.1,63.21,Mobile,0,17.1,387.5,0
CUST_1182,24,High School,4.9,39.7,Mobile,0,17.5,415.59,0
CUST_1183,39,Bachelor,18.7,78.06,Mobile,1,,927.83,1
CUST_1184,32,High School,14.3,57.74,Mobile,1,7.9,406.4,1
CUST_1185,42,PhD,19.3,119.55,Tablet,1,18.4,1156.73,1
CUST_1186,39,High School,19.5,55.55,Desktop,1,32.3,1040.36,1
CUST_1187,34,Bachelor,16.2,58.79,Desktop,0,28.7,767.57,0
CUST_1188,26,High School,8.6,43.08,Mobile,1,4.1,731.76,1
CUST_1189,19,PhD,0.0,70.23,Mobile,0,8.0,532.21,1
CUST_1190,30,Bachelor,10.1,62.11,Mobile,1,11.6,680.0,1
CUST_1191,43,Bachelor,21.5,85.52,Desktop,1,27.6,819.62,1
CUST_1192,37,High School,17.8,60.41,Desktop,0,37.9,698.88,1
CUST_1193,22,Master,0.0,73.62,Mobile,1,5.1,926.62,1
CUST_1194,36,High School,16.4,64.13,Mobile,1,14.5,1053.12,1
CUST_1195,38,Master,15.9,93.02,Mobile,1,19.4,1153.02,1
CUST_1196,26,High School,8.7,52.64,Desktop,0,39.4,805.8,1
