Customer_ID,Age,Education,Years_Experience,Annual_Income_k$,Device_Type,Is_Premium,Avg_Session_Min,Total_Spend_USD,Satisfied
CUST_1000,40.4,Master,24.1,95.36,Mobile,Yes,12.2,1273.53,Yes
CUST_1001,33.8,High School,10.7,76.33,Mobile,Yes,1.2,571.56,Yes
CUST_1002,41.0,Master,23.3,84.65,Mobile,Yes,13.2,863.24,Yes
CUST_1003,51.7,High School,35.0,97.22,Mobile,Yes,,793.24,No
CUST_1004,33.0,Bachelor,14.5,98.38,Mobile,Yes,15.5,711.14,No
CUST_1005,31.9,Master,8.4,77.2,Desktop,Yes,27.6,988.38,No
CUST_1006,49.6,High School,29.0,81.92,Mobile,No,19.5,816.3,No
CUST_1007,41.6,Master,19.5,92.81,Desktop,Yes,29.5,1002.46,No
CUST_1008,29.5,Master,4.3,67.58,Mobile,No,13.5,339.26,No
CUST_1009,39.4,Bachelor,18.5,97.77,Desktop,Yes,20.4,882.01,No
CUST_1010,29.4,High School,3.3,18.0,Mobile,No,13.6,69.11,No
CUST_1011,29.7,Bachelor,11.9,87.82,Desktop,No,35.2,832.61,No
CUST_1012,36.4,Bachelor,12.8,53.95,Desktop,No,22.1,65.18,No
CUST_1013,18.0,PhD,0.0,76.8,Mobile,Yes,22.0,1214.99,Yes
CUST_1014,18.0,Bachelor,0.0,42.85,Tablet,Yes,17.4,520.15,No
CUST_1015,29.5,Bachelor,6.6,66.94,Tablet,Yes,11.8,905.3,Yes
CUST_1016,24.6,Bachelor,4.7,37.28,Desktop,No,35.0,208.32,No
CUST_1017,39.6,Bachelor,15.9,82.17,Desktop,Yes,26.0,1136.79,Yes
CUST_1018,24.8,Master,5.8,,Mobile,No,17.3,758.94,Yes
CUST_1019,20.6,High School,0.0,18.0,Desktop,No,26.0,447.65,No
CUST_1020,51.1,Master,,117.38,Mobile,No,11.6,388.38,Yes
CUST_1021,33.8,Bachelor,18.6,73.54,Mobile,Yes,15.5,863.17,Yes
CUST_1022,36.6,PhD,11.1,105.09,Tablet,Yes,20.0,722.98,No
CUST_1023,20.0,Bachelor,0.0,48.23,Mobile,No,0.5,92.63,No
CUST_1024,28.6,Bachelor,8.4,55.42,Desktop,Yes,20.2,1030.49,Yes
CUST_1025,36.6,PhD,15.2,113.21,Desktop,Yes,34.5,1437.24,No
CUST_1026,24.8,High School,4.0,60.85,Desktop,Yes,27.1,884.04,Yes
CUST_1027,38.9,PhD,18.6,111.19,Tablet,Yes,14.3,740.58,Yes
CUST_1028,29.2,Bachelor,9.4,73.56,Mobile,Yes,2.5,806.28,Yes
CUST_1029,31.4,High School,13.3,40.42,Mobile,No,4.4,175.68,No
CUST_1030,29.8,Bachelor,9.2,53.08,mobile,No,0.5,20.0,Yes
CUST_1031,52.6,Master,29.8,121.31,Mobile,Yes,11.3,1201.67,Yes
CUST_1032,34.3,High School,14.7,76.27,mobile,Yes,7.8,715.68,Yes
CUST_1033,24.2,Bachelor,8.8,68.11,Mobile,No,5.2,601.75,Yes
CUST_1034,43.2,Bachelor,20.7,81.5,Desktop,Yes,27.5,710.38,Yes
CUST_1035,22.0,Bachelor,0.0,47.99,Desktop,No,30.5,20.0,No
CUST_1036,35.9,High School,17.8,49.04,Mobile,No,,543.4,No
CUST_1037,18.0,  Master ,0.0,,Desktop,Yes,17.4,875.84,Yes
CUST_1038,21.1,phd,,90.59,Mobile,Yes,,519.4,Yes
CUST_1039,37.2,PhD,18.2,107.33,Mobile,Yes,18.8,772.1,Yes
CUST_1040,41.3,Master,17.4,87.68,Desktop,Yes,22.5,1644.55,Yes
CUST_1041,36.7,High School,14.4,61.11,Desktop,Yes,29.4,832.62,No
CUST_1042,33.9,Master,13.1,80.34,Desktop,Yes,24.8,1128.7,No
CUST_1043,30.6,High School,9.3,47.95,Mobile,No,13.3,145.58,No
CUST_1044,19.7,High School,0.2,57.56,Desktop,Yes,38.6,480.84,No
CUST_1045,26.7,Bachelor,3.2,50.8,desktop,No,32.2,504.53,No
CUST_1046,29.1,Bachelor,8.9,59.72,Desktop,No,31.6,512.72,No
CUST_1047,47.0,Master,24.1,97.61,Desktop,Yes,25.0,938.1,Yes
CUST_1048,37.9,Bachelor,18.5,90.23,Desktop,Yes,17.6,881.53,No
CUST_1049,18.3,Bachelor,0.0,45.83,Desktop,Yes,26.5,873.91,Yes
CUST_1050,37.5,Bachelor,12.2,62.17,Desktop,Yes,36.4,960.34,Yes
CUST_1051,31.7,PhD,,120.16,Tablet,Yes,7.3,635.37,Yes
CUST_1052,29.0,Bachelor,5.1,74.22,Desktop,Yes,20.6,986.84,Yes
CUST_1053,41.4,  Bachelor ,22.2,80.75,Mobile,No,12.9,20.0,No
CUST_1054,45.2,High School,24.5,53.7,Desktop,No,21.1,20.0,No
CUST_1055,44.0,Master,28.4,125.21,Mobile,Yes,6.5,1155.92,Yes
CUST_1056,26.2,  Bachelor ,3.4,45.9,Mobile,No,9.0,374.89,No
CUST_1057,33.2,High School,10.0,59.49,Desktop,Yes,18.4,755.33,Yes
CUST_1058,39.3,  High School ,17.2,39.32,Tablet,Yes,11.2,249.25,No
CUST_1059,46.2,Bachelor,23.1,100.29,Tablet,Yes,22.9,850.34,No
CUST_1060,29.1,Bachelor,9.9,51.29,Mobile,Yes,2.8,480.71,Yes
CUST_1061,33.8,Bachelor,6.1,67.75,Mobile,No,0.8,20.0,No
CUST_1062,25.3,PhD,0.0,,Mobile,Yes,7.6,553.96,Yes
CUST_1063,22.1,High School,0.0,,Tablet,No,23.1,487.64,Yes
CUST_1064,41.8,Bachelor,23.1,84.7,Tablet,Yes,16.6,1226.46,No
CUST_1065,49.3,PhD,33.3,148.18,desktop,Yes,24.7,1223.34,Yes
CUST_1066,34.5,Bachelor,12.1,71.05,Desktop,Yes,28.3,1131.48,No
CUST_1067,46.1,  Bachelor ,23.5,97.31,Desktop,Yes,15.8,447.54,Yes
CUST_1068,37.5,Bachelor,15.7,,Desktop,Yes,31.5,1293.7,Yes
CUST_1069,29.4,Bachelor,11.5,49.93,Mobile,No,14.7,132.41,No
CUST_1070,37.7,PhD,12.5,121.91,mobile,Yes,,1059.93,Yes
CUST_1071,49.4,Bachelor,28.2,100.01,Desktop,No,35.0,759.07,Yes
CUST_1072,33.6,Master,15.0,78.21,Desktop,No,20.1,859.04,No
CUST_1073,51.6,High School,31.4,72.56,Mobile,No,19.9,280.23,No
CUST_1074,18.0,High School,0.0,29.73,Tablet,No,19.1,464.07,No
CUST_1075,43.3,High School,24.8,87.7,Mobile,Yes,9.6,731.17,Yes
CUST_1076,35.4,Bachelor,3.9,53.49,Mobile,Yes,11.9,625.51,Yes
